,Unnamed: 0,url,lat,lng,name,formatted_address,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,ChIJvTUgpzMwlkYRBP8appIcEFw,https://maps.google.com/?cid=6633833667294330628,59.90675330000001,30.372374199999996,Навалочная,"Санкт-Петербург, Россия, 192102",0,0,0,0,0,5,20,38,53,63,65,62,58,60,69,81,89,87,74,55,35,20,10,4
1,ChIJt0t3ncEvlkYRJhV-X_038qw,https://maps.google.com/?cid=12462084680255935782,59.8783586,30.4089826,Фарфоровская,"Санкт-Петербург, Россия, 192236",7,3,0,0,0,0,23,80,96,50,28,33,42,50,56,59,59,55,49,42,34,26,19,12
2,ChIJWxtd_ZYvlkYR5Aje_algw2M,https://maps.google.com/?cid=7188695713438370020,59.8678129,30.42338049999999,"станция Сортировочная-Московская, Санкт-Петербург","Санкт-Петербург, Россия, 192174",5,0,0,0,0,6,32,59,60,40,27,28,34,40,46,49,51,50,47,42,36,28,20,12
3,ChIJ6dDIIGUvlkYROBBVYU8bAyY,https://maps.google.com/?cid=2739063026120724536,59.8481343,30.4552208,Обухово,"Санкт-Петербург, Россия, 192289",1,0,0,0,0,0,25,82,91,36,4,15,32,21,21,35,51,63,68,64,52,36,21,9
4,ChIJ5VYOi1QvlkYRwmntxkz5Nrk,https://maps.google.com/?cid=13346128653909322178,59.83093129999999,30.5001038,Рыбацкое,"Санкт-Петербург, Россия, 192177",2,0,0,0,0,9,40,77,85,61,39,34,35,33,34,40,50,58,61,56,46,33,20,9
5,ChIJvTePu9YnlkYRDTDnAmhqZOM,https://maps.google.com/?cid=16385338339238555661,59.808079500000005,30.562424800000002,Ижоры,"Санкт-Петербург, Россия, 196641",0,0,0,0,0,0,40,90,41,5,5,10,14,19,22,25,25,25,22,19,14,10,5,0
6,ChIJ6RiELvsnlkYRg5fyKNQXEzU,https://maps.google.com/?cid=3824426708555175811,59.785306000000006,30.6261837,Понтонная,"Санкт-Петербург, Россия, 196643",0,0,0,0,0,4,17,29,37,37,32,27,25,31,43,56,67,71,67,55,39,22,8,0
7,ChIJlw86WgyIvUYRQkGbHGURiQo,https://maps.google.com/?cid=759157138157945154,59.7729277,30.6775395,Сапёрная,"Санкт-Петербург, Россия, 196644",0,0,0,0,0,0,0,0,14,29,41,53,63,68,73,75,75,73,68,58,46,29,14,0
8,ChIJVUJbux6GvUYRwl7c7xnR8rg,https://maps.google.com/?cid=13326944156671303362,59.760046200000005,30.779519399999995,Ивановская,"Ленинградская обл., Россия, 187330",0,0,0,0,0,5,50,89,77,34,9,7,15,26,38,50,59,64,62,55,42,28,13,1
9,ChIJsVEHht-FvUYR8gHwX7YAwfg,https://maps.google.com/?cid=17924608775204897266,59.76929439999999,30.8326641,Пелла,"Отрадное, Ленинградская обл., Россия, 187331",0,0,0,0,0,0,34,62,52,21,1,0,4,12,19,23,25,24,19,13,6,0,0,0
10,ChIJb-fHwdyEvUYRt75qal-rlG4,https://maps.google.com/?cid=7968182067020873399,59.763301,30.987458,О.П. 45 Км,"Ленинградская обл., Россия, 187300",0,0,0,0,0,0,0,1,4,6,8,9,11,13,15,17,17,16,14,10,5,0,0,0
11,ChIJlbkODT-bvUYRc93_8yJY4b4,https://maps.google.com/?cid=13754371644111969651,59.755852399999995,31.061842699999996,Мга,"Мга, Ленинградская обл., Россия, 187300",0,0,0,0,3,11,19,27,34,38,40,41,41,42,45,50,55,56,53,45,32,18,6,0
12,ChIJmQOBknmcvUYR1TpzIG51liY,https://maps.google.com/?cid=2780538935799134933,59.76490020000001,31.15714209999999,Михайловская,"Ленинградская обл., Россия, 187315",0,0,0,0,0,0,0,0,2,8,14,18,21,21,20,20,22,22,19,12,1,0,0,0
13,ChIJP7ZVGo07lkYR5ARNZJeTMAw,https://maps.google.com/?cid=878364205769360612,59.82462579999999,30.145880600000005,Сосновая Поляна,"Санкт-Петербург, Россия, 198264",0,0,0,0,0,12,49,87,100,80,52,36,35,40,45,48,49,49,47,43,36,27,17,8
14,ChIJZ4WqkOoNvUYRZ1XCt13EIyk,https://maps.google.com/?cid=2964428886533887335,59.880546700000004,31.7687024,Войбокало,"Войбокало, Ленинградская обл., Россия, 187350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,10,14,16,15,12,6,0
15,ChIJA6g-RhcavUYR7gF5Z1izpLE,https://maps.google.com/?cid=12800553233168269806,59.904351299999995,32.103443199999994,Пупышево,"Ленинградская обл., Россия, 187413",0,0,0,0,0,0,1,4,7,9,11,13,13,13,13,22,38,25,5,7,20,2,0,0
16,ChIJ80VGeysfvUYRKWNc4hGlL8U,https://maps.google.com/?cid=14208756845607936809,59.921395600000004,32.300149,Волховстрой-1,"Волхов, Ленинградская обл., Россия, 187401",3,0,0,0,4,14,28,42,52,56,53,45,40,43,58,74,77,63,43,28,21,17,14,9
18,ChIJe_sXnkmCvUYRn0qyehYx568,https://maps.google.com/?cid=12675153648875096735,59.85549820000001,31.013559000000004,Невдубстрой,"Ленинградская обл., Россия, 187342",0,0,0,0,0,0,0,3,24,50,52,40,40,52,63,68,67,59,47,32,19,9,3,0
20,ChIJ80pS_CRSvEYRvpby3a68HiM,https://maps.google.com/?cid=2530667499862791870,59.45749559999999,32.026917299999994,Кириши,"Кириши, Ленинградская обл., Россия, 187111",0,0,0,0,0,12,33,46,53,61,63,51,38,39,50,62,68,68,60,47,31,16,4,0
22,ChIJgfdz0xYmlkYRxV4OjYO-fNk,https://maps.google.com/?cid=15671610275559005893,59.80664179999999,30.513285600000003,Славянка,"Санкт-Петербург, Россия, 196642",0,0,0,0,0,13,36,58,72,74,65,52,45,47,57,69,75,73,65,54,43,34,23,11
23,ChIJ_WZWh0kmlkYR-KzxhgDTSdE,https://maps.google.com/?cid=15080816826444262648,59.78915070000001,30.537628299999998,Металлострой,"Санкт-Петербург, Россия, 196641",0,0,0,2,6,15,31,47,59,59,45,27,13,15,31,54,72,77,65,40,15,0,0,0
24,ChIJxQ3o_JsnlkYR_d0MScJR-jk,https://maps.google.com/?cid=4177741499230641661,59.76197750000001,30.5806809,Ижорский Завод,"Санкт-Петербург, Россия, 196653",1,0,0,2,5,13,26,41,56,65,68,68,70,74,76,68,52,32,16,6,2,1,1,1
25,ChIJ2c4afCyIvUYRAA-fshLRchc,https://maps.google.com/?cid=1689642688453742336,59.749587700000006,30.6143885,Колпино,"Санкт-Петербург, Россия, 196655",4,0,0,0,0,9,44,90,86,45,27,35,37,32,31,39,50,59,61,56,46,33,20,10
26,ChIJuUT7g1OJvUYR1rdusV_oTZA,https://maps.google.com/?cid=10398222612364703702,59.67925389999999,30.702517200000003,Поповка,"Поркузи, Ленинградская обл., Россия, 187015",0,0,0,0,0,5,40,72,62,32,17,15,15,15,16,17,18,20,21,19,15,8,1,0
